1, -6, 120, 51215
1, -6, 119, 51319
1, -6, 117, 51423
0, -7, 117, 51527
0, -7, 115, 51631
0, -6, 114, 51734
0, -6, 113, 51839
0, -6, 113, 51943
0, -5, 113, 52047
-1, -4, 113, 52151
-3, -3, 113, 52255
-4, -2, 112, 52359
-5, -2, 110, 52463
-4, 0, 111, 52567
-5, 1, 111, 52671
-4, 1, 113, 52776
-4, 1, 112, 52879
-5, 2, 112, 52981
-6, 3, 111, 53084
-6, 1, 110, 53189
-4, 0, 109, 53293
-4, 0, 110, 53396
-3, 0, 112, 53500
-3, 1, 114, 53604
-4, 0, 114, 53709
-3, 1, 115, 53813
-3, 2, 114, 53918
-2, 2, 115, 54021
-2, 3, 115, 54125
-3, 2, 114, 54229
-4, 3, 116, 54332
-4, 6, 116, 54437
-4, 7, 114, 54541
-3, 6, 111, 54645
-2, 4, 110, 54749
-2, 5, 110, 54851
-2, 3, 110, 54955
-2, 3, 110, 55059
-3, 3, 110, 55164
-2, 4, 111, 55268
-2, 4, 111, 55372
-1, 3, 110, 55476
-1, 3, 111, 55579
-1, 3, 111, 55684
-2, 4, 112, 55788
-3, 4, 113, 55892
-3, 3, 114, 55996
-3, 4, 115, 56100
-4, 3, 115, 56204
-4, 3, 116, 56308
-4, 2, 116, 56413
-5, 1, 116, 56517
-6, 1, 116, 56619
-7, 0, 116, 56724
-7, 0, 116, 56828
-7, 0, 116, 56932
-7, 0, 117, 57036
-7, -1, 114, 57139
-7, -2, 113, 57243
-6, -1, 110, 57347
-6, -1, 109, 57452
-6, 0, 109, 57556
-5, 0, 109, 57660
-4, 0, 110, 57764
-3, 1, 111, 57868
-3, 1, 113, 57972
-4, 2, 112, 58076
-5, 2, 111, 58180
-4, 3, 113, 58283
-4, 4, 114, 58387
-6, 4, 116, 58490
-6, 4, 115, 58594
-7, 4, 114, 58697
-7, 5, 114, 58800
-7, 3, 113, 58905
-8, 3, 110, 59008
-8, 2, 107, 59112
-6, 0, 108, 59216
-5, 0, 109, 59319
-4, 0, 107, 59424
-5, 0, 106, 59528
-3, 0, 105, 59632
-3, 1, 105, 59736
-3, 2, 105, 59841
-2, 1, 105, 59944
-2, 2, 105, 60048
-1, 3, 108, 60152
-1, 3, 111, 60256
-1, 3, 111, 60360
-1, 3, 111, 60464
-2, 3, 112, 60567
-3, 2, 113, 60671
-4, 2, 113, 60775
-3, 2, 113, 60879
-5, 0, 114, 60983
-5, 0, 114, 61088
-5, 0, 115, 61191
-4, 0, 114, 61295
-4, 0, 112, 61399
-5, 2, 110, 61503
-5, 2, 111, 61607
-5, 1, 112, 61710
-4, 3, 112, 61814
-4, 4, 113, 61919
-4, 2, 112, 62023
-2, 1, 111, 62126
-1, 2, 112, 62230
-1, 3, 111, 62334
-1, 2, 112, 62438
-3, 2, 112, 62542
-2, 0, 111, 62646
0, 1, 110, 62749
-1, 0, 109, 62854
-1, 0, 108, 62958
-2, -1, 109, 63063
-8, 8, -183, 47126
-8, 4, -186, 47230
-6, 3, -187, 47334
-6, 3, -187, 47437
-5, 2, -186, 47541
-4, 4, -186, 47646
-4, 2, -185, 47750
-4, 0, -186, 47855
-3, 0, -188, 47958
-3, 0, -188, 48062
-2, -1, -189, 48166
-2, -2, -192, 48271
-1, -2, -193, 48375
-1, -3, -193, 48479
-1, -4, -193, 48583
-1, -4, -196, 48687
0, -5, -198, 48791
1, -4, -200, 48895
2, -4, -199, 49000
2, -4, -198, 49104
3, -4, -200, 49208
1, -4, -199, 49312
0, -5, -198, 49416
0, -5, -196, 49520
0, -4, -197, 49624
0, -1, -199, 49728
-1, -1, -199, 49832
-1, -1, -198, 49936
-1, -2, -196, 50040
-1, -2, -196, 50144
-1, -2, -196, 50248
-1, -2, -196, 50352
-1, -2, -195, 50457
0, -3, -195, 50560
1, -2, -196, 50664
2, -3, -197, 50769
2, -5, -197, 50873
3, -6, -195, 50977
3, -7, -195, 51082
2, -6, -195, 51186
1, -6, -195, 51290
2, -5, -195, 51394
3, -4, -195, 51498
3, -4, -195, 51603
1, -3, -195, 51707
1, -3, -194, 51811
1, -4, -193, 51915
1, -3, -193, 52019
1, -4, -192, 52124
1, -6, -191, 52228
1, -6, -190, 52332
0, -6, -192, 52436
0, -7, -191, 52540
-2, -7, -192, 52645
-2, -8, -192, 52749
-2, -7, -192, 52853
-2, -8, -194, 52958
-2, -7, -195, 53062
-1, -5, -195, 53166
0, -4, -198, 53270
0, -3, -201, 53375
0, -4, -202, 53478
0, -5, -201, 53582
0, -4, -202, 53686
3, -6, -200, 53790
4, -5, -200, 53894
5, -6, -199, 53998
5, -4, -197, 54102
5, -6, -196, 54205
5, -8, -195, 54309
4, -8, -193, 54414
4, -9, -190, 54517
5, -9, -190, 54622
6, -10, -188, 54725
6, -10, -187, 54830
4, -8, -188, 54933
3, -9, -188, 55037
2, -9, -188, 55141
2, -10, -190, 55246
2, -9, -191, 55350
3, -8, -192, 55454
4, -8, -193, 55558
5, -8, -194, 55661
4, -7, -194, 55765
4, -5, -194, 55869
5, -6, -193, 55974
6, -7, -193, 56077
6, -6, -192, 56181
6, -6, -192, 56285
7, -4, -192, 56389
7, -5, -191, 56493
8, -6, -190, 56597
7, -5, -188, 56701
6, -4, -188, 56805
6, -4, -188, 56909
6, -5, -188, 57013
5, -4, -190, 57117
4, -3, -190, 57221
4, -4, -189, 57325
5, -4, -188, 57429
5, -5, -188, 57534
3, -3, -186, 57638
1, -1, -187, 57742
0, -2, -186, 57846
0, -2, -187, 57950
0, -2, -188, 58054
0, 0, -186, 58157
0, -1, -184, 58261
0, 0, -184, 58366
0, 0, -185, 58469
-1, 0, -186, 58573
-1, 0, -185, 58677
0, 0, -185, 58782
0, 0, -184, 58886
1, 0, -184, 58990
0, 0, -183, 59095
0, 0, -182, 59198
0, 0, -184, 59302
0, -1, -185, 59406
0, -2, -186, 59511
0, -2, -184, 59615
1, 0, -184, 59720
1, -1, -185, 59824
1, -2, -186, 59928
0, -3, -186, 60032
-1, -4, -187, 60136
-1, -5, -187, 60240
-1, -5, -187, 60344
0, -5, -188, 60448
-1, -4, -188, 60552
-2, -3, -188, 60656
-1, -3, -188, 60760
0, -2, -188, 60865
-1, -1, -186, 60969
-2, 0, -185, 61073
0, 1, -184, 61177
1, 2, -182, 61281
2, 3, -181, 61385
2, 3, -182, 61488
0, 3, -182, 61591
0, 3, -182, 61694
0, 3, -184, 61798
0, 3, -185, 61902
-1, 4, -185, 62006
-2, 3, -187, 62111
0, 1, -188, 62214
0, 0, -189, 62318
-1, 0, -190, 62423
-2, 0, -188, 62527
-2, 0, -187, 62630
-2, 1, -185, 62734
-2, 1, -183, 62839
-1, 0, -183, 62943
-1, 0, -182, 63047
-1, -1, -181, 63152
0, -2, -179, 63256
0, -1, -178, 63360
0, -1, -178, 63464
0, -1, -178, 63568
0, -1, -181, 63672
1, -1, -182, 63776
1, -2, -184, 63880
3, -2, -187, 63984
2, -3, -186, 64088
3, -3, -185, 64193
3, -2, -184, 64298
3, -1, -184, 64402
3, -1, -185, 64506
2, -2, -186, 64610
1, -2, -186, 64714
1, -2, -185, 64819
1, -2, -185, 64923
1, -3, -183, 65027
0, -3, -179, 65131
0, -1, -177, 65235
0, 0, -177, 65340
0, 0, -179, 65442
0, 0, -180, 65546
0, 0, -178, 65650
0, 0, -177, 65754
0, 0, -175, 65858
1, 1, -174, 65962
1, 3, -175, 66066
2, 3, -176, 66169
2, 4, -177, 66273
2, 3, -178, 66377
3, 3, -179, 66481
3, 2, -178, 66585
4, 1, -177, 66688
3, 1, -177, 66792
1, 1, -177, 66895
0, 0, -178, 67000
0, 0, -176, 67104
0, 0, -175, 67208
0, 1, -175, 67312
0, 0, -176, 67416
-1, 0, -176, 67520
-3, 0, -176, 67625
-3, 1, -177, 67729
-3, 3, -177, 67833
-4, 4, -177, 67937
-3, 4, -178, 68042
-3, 5, -179, 68145
-4, 6, -182, 68249
-4, 6, -184, 68354
-4, 4, -184, 68458
-3, 4, -182, 68562
-1, 5, -182, 68665
0, 5, -183, 68770
0, 4, -183, 68874
0, 3, -183, 68978
0, 2, -184, 69081
1, 3, -184, 69184
1, 2, -183, 69288
0, 2, -181, 69391
1, 3, -178, 69496
2, 4, -177, 69600
3, 4, -178, 69703
1, 5, -178, 69808
0, 6, -177, 69913
0, 5, -176, 70016
-1, 6, -175, 70120
0, 6, -175, 70224
0, 5, -174, 70328
0, 4, -176, 70432
0, 2, -177, 70535
0, 0, -180, 70639
0, 0, -182, 70743
-2, -1, -182, 70848
-2, -3, -182, 70951
-1, -3, -182, 71056
-2, 0, -181, 71161
-4, 0, -184, 71265
-6, -4, -197, 71370
