-19, -38, 995
-21, -39, 979
-19, -36, 989
-18, -41, 984
-24, -37, 987
-20, -33, 988
-25, -29, 985
-20, -36, 983
-20, -27, 982
-19, -40, 989
-17, -34, 989
-20, -37, 983
-20, -35, 990
-13, -34, 985
-24, -39, 990
-16, -40, 988
-24, -36, 986
-18, -38, 985
-20, -38, 979
-18, -33, 987
-18, -36, 989
-13, -38, 990
-14, -37, 989
-22, -39, 985
-18, -43, 988
-17, -43, 984
-19, -35, 991
-20, -41, 983
-20, -36, 983
-19, -41, 986
-25, -37, 992
-16, -38, 989
-17, -39, 987
-12, -43, 991
-20, -35, 994
-26, -40, 987
-23, -35, 987
-22, -39, 981
-25, -42, 987
-27, -39, 990
-26, -43, 984
-23, -39, 987
-22, -38, 985
-18, -37, 984
-19, -37, 994
-22, -37, 981
-24, -39, 982
-19, -42, 987
-27, -40, 989
-19, -37, 989
-44, 208, 1015
146, -12, 1012
-15, 111, 1044
60, 157, 992
108, -575, 995
125, -133, 1674
-9, -168, 1247
140, 2, 794
225, 204, 918
129, -1, 1217
266, -120, 1438
476, -99, 1019
456, -4, 767
432, 140, 696
395, 253, 875
517, 242, 1031
566, 76, 646
471, 88, 532
471, 194, 455
414, 43, 234
608, 598, 464
691, 572, 294
510, 519, 157
516, 602, -33
648, 340, 178
652, 752, -41
548, 826, -175
338, 991, 16
189, 961, -148
104, 696, -168
392, 1027, -1
339, 736, -81
421, 715, -83
74, 876, -145
97, 1052, -64
123, 897, -81
104, 964, -5
38, 760, -112
-243, 952, -45
-329, 1203, -14
-220, 1243, 44
-166, 942, 35
-67, 683, 33
-234, 657, -63
-530, 800, -69
-697, 1035, 2
-574, 914, 114
-302, 894, 166
-376, 785, 175
-644, 670, 4
-840, 789, -46
-673, 517, -96
-604, 544, 64
-711, 767, 267
-713, 835, 136
-640, 678, 46
-753, 639, 33
-625, 481, 108
-708, 564, 164
-791, 611, 166
-788, 614, 198
-799, 676, 189
-792, 566, 145
-804, 378, -62
-837, 340, 202
-896, 492, 85
-822, 384, 59
-948, 258, 94
-953, 257, 57
-925, 274, -91
-1062, 279, -152
-881, 234, -185
-937, 158, -296
-841, 212, -296
-925, 126, -260
-1050, 61, -215
-1128, -113, 79
-1042, -240, -71
-1135, 266, -337
-972, 605, -451
-949, -544, -479
-1238, -250, -53
-1186, -66, 85
-921, 36, -17
-584, 45, -394
-718, -71, -346
-815, -310, -48
-1762, -462, 344
-1257, -404, -29
-1027, -341, 224
-875, -436, 208
-766, -286, 407
-810, -360, 413
-845, -270, 589
-770, -323, 778
-584, -328, 704
-435, -329, 769
-346, -308, 732
-324, -351, 846
-346, -510, 1127
-58, -254, 654
-69, -185, 772
25, -142, 900
20, -161, 1190
53, -190, 1217
35, 100, 978
242, 137, 506
385, 53, 846
405, 7, 897
449, 140, 987
342, 222, 1019
631, 396, 788
659, 446, 828
586, 406, 723
616, 164, 614
625, 275, 680
728, 294, 548
723, 467, 527
723, 517, 508
650, 357, 488
650, 339, 562
704, 498, 566
684, 467, 512
728, 546, 414
750, 481, 342
729, 357, 325
775, 421, 329
760, 448, 334
748, 436, 278
730, 575, 290
775, 486, 196
838, 468, 155
858, 444, 139
896, 463, 92
889, 592, 147
808, 615, 161
865, 490, 117
888, 411, 37
892, 364, 0
925, 398, -22
887, 405, 29
786, 546, 113
907, 505, 62
910, 394, -71
847, 273, -68
738, 233, -102
940, 385, -243
1000, 504, -279
962, 365, -305
767, 276, -210
698, 265, -93
810, 553, -386
910, 451, -479
849, 315, -708
710, 108, -604
469, -54, -403
629, 380, -414
582, 447, -662
601, 367, -849
417, 76, -922
453, 24, -961
324, 125, -802
402, 238, -861
402, 402, -993
304, 251, -975
177, 82, -982
130, 55, -881
42, 106, -910
38, 160, -1035
131, 201, -1110
-59, 65, -910
-137, 148, -918
-131, 185, -945
-92, 261, -1068
-132, 219, -1210
-168, -122, -1060
-291, -82, -848
-282, 236, -747
-83, -283, -588
-176, 99, -839
-645, 300, -1148
-791, 282, -961
-399, 404, -883
-140, 303, -640
-263, 428, -589
-427, 129, -1005
-774, -133, -1131
-643, 272, -862
-468, 429, -729
-447, 560, -867
-369, 68, -936
-720, 183, -664
-854, 417, -667
-659, 501, -531
-589, 737, -616
-817, 147, -649
-992, 367, -441
-588, 159, -492
-722, 286, -554
-901, 308, -571
-860, 357, -507
-861, 182, -303
-875, 229, -109
-831, 401, -200
-907, 376, -283
-865, 194, -328
-911, 453, -200
-1018, 380, 68
-926, 552, -23
-808, 441, -108
-803, 299, -195
-911, 275, -24
-995, 312, 144
-902, 413, 307
-930, 439, 339
-951, 389, 302
-899, 377, 359
-872, 202, 235
-844, 194, 330
-845, 219, 493
-793, 392, 691
-880, 292, 658
-885, 132, 556
-739, 42, 513
-717, 63, 616
-614, 15, 716
-622, 17, 777
-630, 96, 838
-673, -27, 782
-659, -129, 734
-552, -86, 779
-585, -14, 749
-650, -104, 710
-563, -66, 546
-544, -12, 869
-656, 126, 942
-614, -23, 818
-639, -132, 763
-626, -32, 692
-711, -22, 629
-768, 101, 572
-818, 72, 528
-762, -112, 554
-786, -161, 736
-895, -203, 805
-933, -132, 621
-986, -335, 566
-973, -460, 213
-923, -399, 301
-908, -482, 397
-852, -606, 236
-884, -700, 283
-994, -691, 309
-964, -955, -611
-734, -683, -250
-836, -652, 49
-886, -746, 218
-693, -751, 291
-590, -801, 177
-682, -1023, -102
-564, -1190, -304
-479, -1072, -260
-315, -767, -16
-217, -823, 209
-67, -975, -178
124, -1125, -246
88, -929, -177
-54, -851, -57
-56, -965, 36
66, -1093, -208
98, -1047, -202
147, -966, -153
141, -1080, -208
134, -980, -315
226, -1020, -378
154, -874, -84
194, -1014, -51
191, -857, -202
307, -980, -554
299, -1118, -678
121, -1039, -430
89, -937, -246
129, -717, -209
222, -723, -453
181, -710, -706
213, -949, -1295
130, -786, -890
285, -640, -594
121, -500, -717
-223, -589, -775
-111, -529, -939
63, -454, -1070
-143, -320, -1004
-402, -241, -827
-483, -260, -887
-469, -240, -922
-416, -299, -1149
-382, -107, -991
-511, -35, -577
-646, -112, -537
-686, -142, -781
-610, -154, -780
-761, 15, -812
-750, 143, -715
-812, 27, -528
-888, -195, -468
-902, -93, -598
-963, 61, -662
-881, 71, -526
-997, 65, -388
-926, -110, -554
-857, -133, -507
-959, -75, -366
-1025, -27, -138
-1001, -124, -169
-1038, -192, -214
-884, -41, -346
