0, 0, 0, 7663
0, 0, 0, 7684
0, 0, 0, 7705
0, 0, 0, 7726
0, 0, 0, 7747
0, 0, 0, 7768
0, 0, 0, 7789
0, 0, 0, 7810
0, 0, 0, 7830
0, 0, 0, 7850
0, 0, 0, 7870
0, 0, 0, 7890
0, 0, 0, 7910
0, 0, 0, 7929
0, 0, 1, 7949
0, 0, 1, 7969
0, 0, 3, 7989
0, 0, 3, 8009
0, 0, 3, 8030
0, 0, 3, 8050
0, 0, 3, 8070
0, 0, 4, 8090
0, 0, 7, 8110
0, 0, 7, 8130
0, 0, 6, 8150
0, 0, 6, 8169
0, 0, 7, 8189
0, 0, 6, 8210
0, 0, 7, 8230
0, 0, 7, 8250
0, 0, 9, 8270
0, 0, 11, 8290
0, 0, 14, 8310
0, 0, 14, 8330
0, 0, 15, 8350
0, 0, 16, 8370
0, 0, 20, 8390
0, 0, 27, 8410
0, 0, 31, 8430
0, 0, 29, 8450
0, 0, 23, 8470
0, 0, 17, 8490
0, 0, 17, 8510
0, 0, 17, 8530
0, 0, 15, 8550
0, 0, 21, 8570
0, 0, 24, 8590
0, 0, 22, 8610
0, 0, 16, 8630
0, 0, 13, 8650
1, 1, 13, 8670
0, 0, 11, 8690
0, 0, 12, 8710
0, 0, 16, 8729
0, 0, 19, 8750
0, 0, 20, 8770
0, 0, 19, 8790
0, 0, 18, 8810
0, 0, 18, 8829
0, 0, 18, 8849
0, 0, 22, 8869
0, 0, 23, 8889
0, 0, 22, 8910
0, 0, 21, 8930
0, 0, 25, 8950
0, 0, 27, 8970
0, 0, 27, 8990
0, 0, 25, 9010
0, 0, 23, 9029
0, 0, 21, 9049
0, 0, 21, 9069
0, 0, 22, 9090
0, 0, 25, 9109
0, 0, 25, 9130
0, 0, 25, 9150
0, 0, 22, 9170
0, 0, 22, 9190
0, 0, 24, 9210
0, 0, 27, 9230
0, 0, 31, 9250
0, 0, 31, 9270
0, 0, 29, 9289
0, 0, 30, 9309
0, 0, 33, 9330
0, 0, 31, 9350
0, 0, 27, 9370
0, 0, 20, 9390
0, 0, 16, 9410
0, 0, 17, 9430
0, 0, 27, 9450
0, 0, 31, 9470
0, 0, 32, 9490
0, 0, 30, 9510
0, 0, 24, 9530
0, 0, 22, 9550
0, 0, 18, 9570
0, 0, 13, 9590
0, 0, 9, 9610
0, 0, 12, 9630
0, 0, 23, 9649
0, 0, 40, 9669
0, 0, 36, 9689
0, 0, 22, 9709
0, 0, 7, 9729
0, 0, 3, 9749
0, 0, 5, 9769
0, 0, 7, 9790
0, 0, 8, 9809
0, 0, 8, 9830
0, 0, 9, 9849
0, 0, 9, 9869
0, 0, 7, 9890
0, 0, 8, 9909
0, 0, 12, 9929
0, 0, 16, 9950
0, 0, 18, 9970
