-15, 8, -18, 1839602
-17, -37, 3, 1843203
-8, -24, 12, 1846803
-10, 9, 6, 1850403
3, -13, -12, 1854003
24, -16, 29, 1857603
-13, 16, -1, 1861203
-8, 2, 1, 1864803
-30, 12, 18, 1868403
-6, -4, 21, 1872003
-22, -12, 60, 1875603
-15, 18, -7, 1879202
-12, -2, 9, 1882802
-4, 4, -29, 1886402
-12, 25, -57, 1890003
-28, -5, 1, 1893602
-20, -15, 13, 1897203
-17, -7, -16, 1900802
-29, 16, -33, 1904403
5, -8, -21, 1908002
-9, -15, -32, 1911603
-3, -2, -9, 1915203
15, 11, 2, 1918802
-20, 7, -36, 1922403
-30, 59, -23, 1926002
-17, -1, 8, 1929603
-3, 5, 26, 1933202
-26, -10, -28, 1936803
-41, 9, 14, 1940403
0, -8, -5, 1944003
-7, -26, 6, 1947603
-15, -8, -14, 1951203
-12, -25, -21, 1954802
0, -24, -1, 1958403
-7, 9, 39, 1962003
-12, 2, -7, 1965602
-20, 3, 21, 1969203
-6, -24, -5, 1972803
-14, -5, 40, 1976403
-16, 5, 9, 1980003
-10, 12, 34, 1983602
2, 25, 1, 1987203
-9, -15, 3, 1990802
-7, 2, 5, 1994403
-15, 32, 0, 1998002
-4, 14, 0, 2001603
-24, 3, -10, 2005203
-10, -22, 15, 2008802
-25, 16, 16, 2012402
1, -22, 6, 2016003
-12, -1, 22, 2019602
-17, 4, 6, 2023203
-5, -10, -15, 2026803
-25, -27, 18, 2030402
10, 50, -21, 2034003
-11, 31, 11, 2037602
1, -22, -5, 2041203
-18, -25, -8, 2044803
-16, -7, -7, 2048403
-1, -4, -18, 2052002
-8, -4, -5, 2055603
-2, 39, 6, 2059202
7, 13, 0, 2062803
-19, 20, -15, 2066402
-12, -5, 6, 2070003
4, 36, 8, 2073603
-21, 10, 2, 2077202
-9, 4, -14, 2080802
-8, 7, 2, 2084403
-17, -36, -8, 2088003
-13, 5, 3, 2091603
-8, -19, 15, 2095202
-10, 6, 1, 2098802
-17, -2, -14, 2102403
-23, 17, 0, 2106003
8, -16, -20, 2109603
-15, 16, 21, 2113203
-8, 33, -26, 2116803
-13, 21, -11, 2120403
-7, -7, 6, 2124003
-6, 5, 15, 2127602
-2, 2, -7, 2131203
-13, -52, 10, 2134802
-22, -3, 1, 2138403
-20, 2, -28, 2142002
-5, 11, -5, 2145603
5, 21, 20, 2149203
-22, 19, 0, 2152803
-9, 0, -15, 2156403
-7, 3, -1, 2160003
14, -6, -2, 2163603
-22, -1, -4, 2167203
7, 33, 13, 2170803
-15, 12, -24, 2174403
4, -4, -36, 2178003
0, 21, -8, 2181603
3, 11, -15, 2185202
-4, -37, 14, 2188803
-12, 14, -26, 2192403
-25, 21, -16, 2196003
9, -5, 7, 2199603
0, 13, -4, 2203203
-26, -34, -5, 2206802
-30, -2, 13, 2210403
-6, 55, -16, 2214002
-16, -42, -16, 2217603
-8, 24, 3, 2221203
12, 0, 7, 2224803
-22, 7, -11, 2228402
-21, 36, 19, 2232003
-34, 13, -1, 2235603
-23, 29, -5, 2239203
-24, 22, 0, 2242802
-8, 26, 0, 2246403
-14, 5, -1, 2250002
-19, -15, -7, 2253603
0, 8, -15, 2257202
-31, 43, 5, 2260802
-23, -47, 3, 2264403
6, 0, -5, 2268002
-1, 0, 9, 2271603
3, 32, 12, 2275203
6, 26, 8, 2278803
-9, -2, 10, 2282403
0, 21, 2, 2286003
-11, 27, 16, 2289603
-16, -1, -24, 2293202
-4, 0, -26, 2296802
-16, -22, 11, 2300403
-8, -18, 1, 2304002
14, 4, 6, 2307603
-8, 20, -2, 2311203
2, 0, -46, 2314802
-17, -5, 3, 2318403
3, -34, 0, 2322003
-10, -6, -23, 2325602
-15, 8, 15, 2329202
-12, 15, -12, 2332803
-30, 12, -5, 2336403
-2, -22, 7, 2340003
-1, 37, 1, 2343602
-3, -19, 2, 2347203
-5, 5, -18, 2350802
-10, -19, 0, 2354402
-44, -29, 13, 2358003
-22, 10, 0, 2361602
-22, -3, 2, 2365202
-22, -20, -18, 2368802
-6, -23, -11, 2372403
-2, 0, -1, 2376003
-19, 9, 17, 2379603
0, 15, -13, 2383203
-3, -9, -3, 2386803
-4, 43, 20, 2390403
-2, 21, -1, 2394002
-22, 29, -29, 2397603
-12, -13, 0, 2401203
-15, -13, -25, 2404802
-20, -21, 24, 2408403
-6, -16, 8, 2412003
-11, -8, 8, 2415602
-14, -8, 1, 2419203
-11, 1, -9, 2422803
-31, 33, 1, 2426403
-16, 10, -29, 2430003
-13, 17, -34, 2433603
-8, 17, -21, 2437202
-8, 13, 22, 2440803
-10, 16, 6, 2444402
-17, 12, 8, 2448003
-30, -20, 19, 2451602
-23, 13, -34, 2455203
9, -19, 3, 2458803
-6, 23, 4, 2462402
-24, 4, 19, 2466003
-2, 11, 0, 2469603
-23, 13, 11, 2473203
-8, -14, 18, 2476802
-24, 15, 0, 2480403
-33, -9, 31, 2484003
-12, 13, -9, 2487603
-15, 8, 0, 2491203
-26, 30, -9, 2494803
-9, 19, 21, 2498403
-26, -19, 25, 2502003
-10, 13, 5, 2505603
-15, -6, 14, 2509203
14, 0, -6, 2512803
-10, -39, 9, 2516403
11, 2, -13, 2520003
-16, 2, -5, 2523603
-3, 40, -23, 2527203
-19, -22, 21, 2530802
-14, -8, 0, 2534402
-11, 10, -15, 2538002
6, 31, -13, 2541603
-15, 9, -16, 2545203
-28, 5, 7, 2548803
-44, -37, -1, 2552403
-28, 25, -4, 2556002
-12, -17, 21, 2559603
-9, 8, -20, 2563203
-19, -18, 12, 2566803
-10, 24, -10, 2570403
-4, -15, -14, 2574003
-18, -4, -5, 2577603
-35, 12, 4, 2581203
0, 22, -18, 2584802
0, 28, 12, 2588403
-23, -20, 10, 2592002
-26, 31, -43, 2595602
-30, -13, 10, 2599202
5, 1, -33, 2602803
-12, -4, 23, 2606403
-4, 11, 9, 2610002
-18, -22, 5, 2613602
14, -51, 8, 2617202
-1, -16, -20, 2620803
-12, 12, 15, 2624402
-34, -8, 4, 2628003
9, -3, 4, 2631603
-2, -33, -8, 2635202
-8, -13, -8, 2638802
-22, -5, 0, 2642403
3, -32, 15, 2646003
-9, 13, 1, 2649603
2, 1, 29, 2653203
-35, -6, -1, 2656803
-12, 7, -45, 2660402
-16, 5, -3, 2664002
-20, 12, -20, 2667603
-14, 0, 12, 2671203
-13, -8, 2, 2674802
0, 7, 17, 2678403
-13, 14, 11, 2682002
4, -12, -6, 2685603
-23, -1, 26, 2689203
-22, 1, 6, 2692802
-3, -1, 9, 2696403
-11, -3, 14, 2700002
-4, 14, -4, 2703602
-23, -33, 8, 2707203
-8, -1, -31, 2710803
-6, -5, -21, 2714402
-18, -16, -18, 2718003
-64, -28, 2, 2721603
-18, 20, -22, 2725203
-5, -2, 26, 2728802
-2, -3, -17, 2732402
-17, 13, 16, 2736003
-1, 49, 0, 2739603
-15, 31, 20, 2743203
-5, -5, 11, 2746802
-24, 7, 7, 2750403
-21, 10, 34, 2754003
-21, -15, 21, 2757603
-27, 6, -1, 2761203
-14, 32, -41, 2764803
-11, -3, 0, 2768403
3, 3, 9, 2772002
-2, -5, -11, 2775603
-8, 12, 28, 2779203
-7, 5, 23, 2782803
-10, -20, 30, 2786403
-6, -6, 3, 2790002
9, -7, 5, 2793603
0, -15, -33, 2797202
-14, -14, 20, 2800802
71, 37, 61, 2804403
-44, 1, 9, 2808002
-19, -7, -3, 2811603
-7, 22, 11, 2815203
-20, 8, -2, 2818803
-11, -15, -23, 2822402
5, 13, 7, 2826003
-43, 10, 19, 2829602
3, 18, -22, 2833203
-11, 25, -6, 2836802
-24, -4, -34, 2840402
-16, -29, -9, 2844003
-20, 18, -15, 2847603
15, 14, -27, 2851202
-16, 0, 15, 2854802
-20, -45, 14, 2858402
3, -13, 6, 2862002
5, 9, -5, 2865603
-2, -28, 22, 2869203
-12, 21, 20, 2872803
-13, 1, -9, 2876402
-8, 11, 2, 2880002
1, 3, 6, 2883602
-26, -33, -13, 2887202
-8, -28, -7, 2890802
-14, 2, -8, 2894403
-3, -12, 13, 2898002
-16, 8, 0, 2901603
1, 4, -44, 2905202
-26, 35, -9, 2908803
-15, 32, -16, 2912403
15, -5, -8, 2916003
-34, 20, 16, 2919602
-20, 2, 19, 2923203
-30, -25, 31, 2926803
-8, -20, 6, 2930403
3, 11, 16, 2934003
-33, -6, 18, 2937603
0, 0, -4, 2941202
-20, 20, -4, 2944802
-23, 0, 9, 2948403
3, 5, 36, 2952003
-1, 7, 26, 2955603
-8, -14, 9, 2959203
-10, 8, 3, 2962803
1, 3, 1, 2966402
0, 2, 19, 2970002
-5, 25, -1, 2973602
10, -19, 2, 2977203
-22, -14, 21, 2980803
-7, 0, -9, 2984402
-8, 17, 6, 2988003
-29, -19, 9, 2991603
-1, -1, 12, 2995203
4, -2, -1, 2998802
-7, 9, -12, 3002403
-18, 6, 12, 3006003
-42, -22, -23, 3009602
26, -24, -19, 3013203
-20, -14, 23, 3016803
-10, -21, 40, 3020402
-4, -20, 7, 3024003
-20, 13, -20, 3027603
-2, 33, -6, 3031203
-7, -22, -19, 3034802
-20, -6, 14, 3038403
-12, -2, -3, 3042002
-34, -19, 6, 3045603
-44, 15, -1, 3049203
14, 9, -1, 3052803
-9, 5, 4, 3056402
-12, 18, -25, 3060002
-24, -6, 4, 3063603
12, -19, -19, 3067203
-22, -12, 33, 3070802
-13, 11, 12, 3074403
-25, -31, -5, 3078002
-38, -7, 10, 3081603
7, 9, -33, 3085203
-3, 0, -9, 3088802
-3, 11, -8, 3092403
-33, -30, -11, 3096002
-7, -10, 15, 3099603
5, 28, -22, 3103203
-9, -5, 27, 3106803
0, -3, -11, 3110402
-20, 5, 4, 3114003
-7, -9, -30, 3117603
7, 4, -9, 3121203
7, 0, 8, 3124802
-5, -25, 14, 3128403
-19, -4, -11, 3132002
-11, -25, 10, 3135603
-15, -4, -29, 3139203
-1, -2, -9, 3142802
8, -1, 40, 3146402
-35, -13, 0, 3150003
-13, -23, -15, 3153603
-21, -18, -18, 3157203
-2, 6, -5, 3160802
-21, -20, -32, 3164403
3, 17, -6, 3168003
-24, -18, -5, 3171603
-5, -4, 4, 3175203
12, 0, -1, 3178802
9, 9, 10, 3182402
0, -5, 51, 3186003
-29, -14, -3, 3189603
-5, 10, -8, 3193202
3, 2, 0, 3196802
-6, 0, -21, 3200402
-11, -5, -21, 3204003
-42, 0, 19, 3207603
0, -36, 3, 3211202
-18, 11, -6, 3214802
-25, -26, 11, 3218402
-22, 5, -3, 3222003
-36, 18, 0, 3225602
0, -46, 16, 3229203
-12, -7, -4, 3232803
-3, -1, -4, 3236403
-2, 50, 0, 3240002
7, 0, 26, 3243603
-19, -15, 4, 3247203
-5, -1, -54, 3250802
12, -6, -15, 3254402
-2, -28, 29, 3258003
13, 4, 7, 3261603
-19, -6, -5, 3265202
-34, -29, 31, 3268803
0, 8, 0, 3272403
-9, 17, -1, 3276003
-1, -34, -9, 3279603
-4, -6, -7, 3283202
-8, 21, 0, 3286803
-4, -19, -12, 3290402
-9, -34, 2, 3294002
20, -15, -10, 3297602
-15, 15, -10, 3301202
-20, -40, 8, 3304802
-2, 17, 2, 3308402
-12, 4, -8, 3312003
-7, -13, 9, 3315602
7, -10, -9, 3319203
-17, 16, 14, 3322803
-7, -21, 28, 3326403
-27, -23, -14, 3330003
2, -23, 25, 3333603
-13, 9, -5, 3337202
-24, 10, 9, 3340803
3, 2, -12, 3344403
-4, 0, -2, 3348003
-5, -30, -1, 3351603
-18, -24, 12, 3355203
-7, 30, 29, 3358802
-20, -16, 45, 3362403
12, -13, 19, 3366002
-19, -19, -14, 3369603
0, -2, 11, 3373202
-3, 10, 10, 3376802
-24, -17, 9, 3380403
-10, -8, 21, 3384003
-6, -21, -14, 3387603
-9, -17, 7, 3391203
-36, 32, 6, 3394802
-1, 7, -1, 3398403
8, -5, -30, 3402003
3, 40, -2, 3405602
-5, 9, 33, 3409203
-5, 4, -2, 3412802
-7, -6, -29, 3416402
-22, -10, -18, 3420002
-22, 19, 10, 3423602
-12, -6, 94, 3427202
-7, 13, 17, 3430803
-6, 5, -24, 3434403
6, 39, 9, 3438002
-1, -2, 2, 3441602
2, 1, 6, 3445203
-22, 20, -18, 3448803
12, 1, 0, 3452403
-27, 11, -9, 3456002
